profile	concurrency	baremetal_throughput	vm_throughput	vm_throughput_penalty_pct	baremetal_p99_ms	vm_p99_ms	p99_amplification_x	baremetal_p99_9_ms	vm_p99_9_ms	p99_9_amplification_x	baremetal_max_ms	vm_max_ms	baremetal_failures	vm_failures
hybrid_frodo	1	264.566667	252.85	4.428625	3.810851	4.003505	1.050554		4.368667		5.032199	5.363045	0	0
hybrid_frodo	8	1908.066667	1800.422222	5.641545	5.034122	4.790273	0.951561		5.195357		10.089278	13.342693	0	0
hybrid_frodo	32	4219.733333	1280.655556	69.650794	11.203837	57.300876	5.114397		72.809304		27.381322	106.917732	0	0
hybrid_hqc	1	34.977778	34.55	1.222999	29.345941	29.306331	0.99865		29.843378		31.140661	30.958258	0	0
hybrid_hqc	8	260.294444	257.761111	0.973257	31.132396	31.352268	1.007062		35.021408		45.764916	47.966705	0	0
hybrid_hqc	32	502.433333	257.066667	48.835666	71.584167	194.586705	2.718293		232.1276		186.417759	317.979792	0	0
mlkem	1	28450.244444	24488.4	13.92552	0.03152	0.056417	1.789879		0.063074		0.554605	0.566245	0	0
mlkem	8	39352.872222	13308.088889	66.182675	0.433633	1.430671	3.299265		1.92138		2.209847	3.912923	0	0
mlkem	32	20551.188889	11971.394444	41.748409	4.11187	8.676724	2.110165		11.992793		9.502023	24.667666	0	0
mlkem	128	19625.744444	11832.15	39.711077	17.951108	35.44538	1.974551		48.706059		48.680774	101.814896	0	0
